Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,,
S5,2020,6,18,22,34,33,45.418369,-71.859184,276.10001,11,49.7,24,60,614.4,2900,0.195719,44,30,24,78,UE,,
S1,2020,6,18,22,34,38,45.418129,-71.859177,279.10001,12,50,24,60,614.4,1914,4.971272,1615,909,723,2801,OK,,
S2,2020,6,18,22,34,40,45.417946,-71.859192,281.89999,12,50.1,24,60,614.4,3501,2.857503,2967,1133,828,4741,OK,,
S4,2020,6,18,22,34,45,45.417698,-71.859207,284.60001,12,50,24,60,614.4,3368,0.482775,501,197,152,780,OK,,
S5,2020,6,18,22,34,48,45.417641,-71.859207,289.10001,12,50,24,60,614.4,5399,0.195719,1049,364,299,1556,OK,,
S2,2020,6,18,22,34,55,45.417709,-71.859184,279.20001,12,50.1,24,60,614.4,2222,0.665446,178,108,84,294,UE,,
S3,2020,6,18,22,34,58,45.417709,-71.859169,279.20001,12,50.1,23.9,60,614.4,2612,0.587158,100,71,46,204,UE,,
S4,2020,6,18,22,35,0,45.41774,-71.859154,279.20001,12,50.1,23.9,60,614.4,3013,0.391439,356,141,105,550,OK,,
S5,2020,6,18,22,35,3,45.417839,-71.859138,277.39999,13,50.1,23.9,60,614.4,1651,0.482775,185,95,72,311,UE,,
S6,2020,6,18,22,35,5,45.417923,-71.859138,276.60001,13,50.2,24,60,614.4,1632,1.135173,455,230,175,765,OK,,
S2,2020,6,18,22,35,10,45.418209,-71.859138,275.89999,13,50.2,23.9,60,614.4,2321,0.756782,160,103,71,331,UE,,
S3,2020,6,18,22,35,12,45.418404,-71.859123,277,13,50.1,23.9,60,614.4,1914,11.234293,2672,1552,984,4920,OK,,
S4,2020,6,18,22,35,15,45.418537,-71.859116,275,13,50.1,23.9,60,614.4,2056,3.418566,1934,806,522,3120,OK,,
S5,2020,6,18,22,35,17,45.418751,-71.859154,275,13,50.1,23.9,60,614.4,2162,2.935791,912,537,445,1597,OK,,
S6,2020,6,18,22,35,20,45.418816,-71.85923,276.60001,13,50.1,23.9,60,614.4,1771,0.169623,61,33,26,102,UE,,
S2,2020,6,18,22,35,25,45.4189,-71.859749,274.60001,13,50.1,23.9,60,614.4,2125,0.404487,270,116,88,420,UE,,
S3,2020,6,18,22,35,27,45.418907,-71.85997,274.70001,13,50.1,23.9,60,614.4,1726,1.552707,617,328,270,1080,OK,,
S4,2020,6,18,22,35,29,45.418919,-71.860275,274.79999,13,50.1,23.9,60,614.4,2313,0.326199,88,54,43,162,UE,,
S1,2020,6,18,22,35,37,45.418915,-71.860931,276.29999,13,50.2,23.9,60,614.4,1833,2.165961,824,451,380,1360,OK,,
S2,2020,6,18,22,35,39,45.418915,-71.861206,276.60001,13,50.2,23.9,60,614.4,3868,1.526611,1846,708,547,2962,OK,,
S3,2020,6,18,22,35,42,45.418945,-71.861389,276.60001,13,50.3,23.9,60,614.4,2552,1.435276,289,194,139,591,OK,,
S4,2020,6,18,22,35,44,45.419025,-71.861626,276.60001,13,50.4,23.9,60,614.4,2233,0.195719,64,38,32,106,UE,,
S5,2020,6,18,22,35,47,45.419071,-71.861748,277.79999,13,50.4,23.9,60,614.4,5993,0.143528,37,28,28,41,UE,,
S6,2020,6,18,22,35,49,45.419128,-71.861893,277.60001,13,50.5,23.9,60,614.4,1627,0.234863,123,60,49,205,UE,,
S1,2020,6,18,22,35,52,45.419209,-71.862152,278.29999,13,50.5,23.8,60,614.4,1622,5.336616,2354,1176,933,4028,OK,,
S2,2020,6,18,22,35,54,45.419254,-71.862312,277.79999,13,50.6,23.9,60,614.4,5583,0.182671,958,328,262,1438,OK,,
S3,2020,6,18,22,35,56,45.419338,-71.862511,277.10001,13,50.6,23.8,60,614.4,1695,1.461371,530,232,112,901,OK,,
S4,2020,6,18,22,35,59,45.419434,-71.862587,275.39999,13,50.7,23.9,60,614.4,1851,1.696235,872,380,255,1466,OK,,
S5,2020,6,18,22,36,1,45.419601,-71.862595,273.10001,13,50.7,23.9,60,614.4,2942,0.221815,71,45,41,95,UE,,
S2,2020,6,18,22,36,9,45.419857,-71.862198,269,13,50.8,23.8,60,614.4,1643,0.50887,217,111,89,327,UE,,
S3,2020,6,18,22,36,11,45.419922,-71.861969,267.79999,13,50.8,23.8,60,614.4,4439,0.391439,59,51,42,136,UE,,
S4,2020,6,18,22,36,14,45.419964,-71.861809,266.10001,13,50.8,23.8,60,614.4,1877,3.405517,1655,703,424,2730,OK,,
S5,2020,6,18,22,36,16,45.420006,-71.861649,265.10001,13,50.9,23.8,60,614.4,1685,0.730686,350,183,162,641,OK,,
S6,2020,6,18,22,36,18,45.420071,-71.861443,263.5,13,51,23.8,60,614.4,2019,0.208767,58,34,25,102,UE,,
S2,2020,6,18,22,36,23,45.42028,-71.861267,260.5,13,51.1,23.8,60,614.4,1687,0.482775,162,85,60,274,UE,,
S3,2020,6,18,22,36,26,45.420383,-71.861275,260.89999,13,51.1,23.8,60,614.4,2129,0.848117,188,116,77,358,UE,,
S4,2020,6,18,22,36,28,45.420536,-71.861313,260.89999,13,51.1,23.8,60,614.4,1635,0.143528,65,33,26,95,UE,,
S5,2020,6,18,22,36,31,45.420631,-71.861351,261.79999,13,51.2,23.8,60,614.4,2526,1.056885,169,120,73,334,UE,,
S1,2020,6,18,22,36,36,45.420895,-71.861458,257.5,13,51.2,23.8,60,614.4,1620,3.118462,1163,563,371,1994,OK,,
S2,2020,6,18,22,36,38,45.421013,-71.861465,256.89999,13,51.2,23.8,60,614.4,1908,2.061578,1077,461,300,1805,OK,,
S3,2020,6,18,22,36,41,45.421192,-71.861465,255.3,13,51.2,23.8,60,614.4,1653,0.195719,93,44,33,146,UE,,
S4,2020,6,18,22,36,43,45.42131,-71.861473,254.39999,13,51.2,23.8,60,614.4,1620,0.169623,77,38,30,115,UE,,
S5,2020,6,18,22,36,45,45.421467,-71.861481,253,13,51.2,23.8,60,614.4,5606,0.104384,30,22,22,33,UE,,
S1,2020,6,18,22,36,50,45.421658,-71.861534,251,13,51.3,23.8,60,614.4,2531,2.218153,431,291,203,795,OK,,
S2,2020,6,18,22,36,53,45.421696,-71.861618,249.3,13,51.3,23.8,60,614.4,1873,2.609592,665,379,249,1226,OK,,
S3,2020,6,18,22,36,55,45.421719,-71.861832,247.60001,13,51.3,23.8,60,614.4,2807,0.274007,82,52,46,119,UE,,
S4,2020,6,18,22,36,58,45.421722,-71.861977,247.10001,13,51.3,23.8,60,614.4,2060,1.552707,541,310,265,931,OK,,
S5,2020,6,18,22,37,0,45.421726,-71.862198,247,13,51.3,23.8,60,614.4,5039,1.21346,189,165,144,444,OK,,
S1,2020,6,18,22,37,5,45.421738,-71.862526,246.8,13,51.3,23.8,60,614.4,2830,0.208767,53,35,29,97,UE,,
S2,2020,6,18,22,37,8,45.421734,-71.862762,246.7,13,51.3,23.8,60,614.4,2195,0.613254,154,94,70,269,UE,,
S3,2020,6,18,22,37,10,45.421722,-71.862923,246.89999,13,51.4,23.8,60,614.4,3077,0.482775,109,75,62,216,UE,,
S4,2020,6,18,22,37,12,45.421696,-71.863167,247.5,13,51.4,23.8,60,614.4,3234,0.76983,174,121,102,320,OK,,
S5,2020,6,18,22,37,15,45.421661,-71.863335,248.3,13,51.4,23.8,60,614.4,4412,0.287055,47,39,33,89,UE,,
S6,2020,6,18,22,37,17,45.421616,-71.863564,249.5,13,51.4,23.8,60,614.4,1652,0.300103,88,45,26,147,UE,,
S1,2020,6,18,22,37,20,45.4216,-71.86364,249,13,51.4,23.8,60,614.4,1626,8.911757,2447,1116,387,4251,OK,,
S2,2020,6,18,22,37,22,45.421616,-71.863747,249,13,51.3,23.7,60,614.4,1625,5.427951,1295,627,209,2407,OK,,
S3,2020,6,18,22,37,25,45.421673,-71.863823,248.7,13,51.4,23.8,60,614.4,2324,0.521918,124,78,58,232,UE,,
S4,2020,6,18,22,37,27,45.421818,-71.863892,247.5,13,51.4,23.8,60,614.4,1988,0.613254,219,124,105,363,OK,,
S5,2020,6,18,22,37,30,45.421917,-71.863922,246.60001,13,51.3,23.7,60,614.4,3021,0.247911,77,49,45,115,UE,,
S2,2020,6,18,22,37,37,45.422253,-71.864128,244.8,13,51.4,23.8,60,614.4,1632,0.378391,162,82,64,267,UE,,
S3,2020,6,18,22,37,39,45.422386,-71.864258,244.10001,13,51.4,23.7,60,614.4,1905,0.300103,94,53,41,150,UE,,
S4,2020,6,18,22,37,42,45.422451,-71.864334,245.89999,13,51.3,23.7,60,614.4,1890,0.195719,66,37,29,104,UE,,
S1,2020,6,18,22,37,49,45.422504,-71.86499,244.5,13,51.3,23.7,60,614.4,2981,1.461371,317,218,176,560,OK,,
S2,2020,6,18,22,37,52,45.422497,-71.865158,244.39999,13,51.4,23.7,60,614.4,1781,3.549045,1145,624,466,2023,OK,,
S3,2020,6,18,22,37,54,45.422497,-71.865326,244.60001,13,51.4,23.7,60,614.4,5113,1.096029,150,139,118,390,OK,,
S4,2020,6,18,22,37,57,45.422493,-71.865593,245.5,13,51.4,23.7,60,614.4,1644,0.195719,86,44,35,132,UE,,
S5,2020,6,18,22,37,59,45.422493,-71.865776,246,13,51.4,23.7,60,614.4,2677,0.156576,52,32,29,74,UE,,
S6,2020,6,18,22,38,1,45.422489,-71.866043,247.10001,13,51.4,23.7,60,614.4,1698,1.2787,384,203,133,672,OK,,
