Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S3,2020,5,5,22,57,47,45.448486,-71.932198,146.7,15,48.4,5.5,60,614.4,5193,0.104384,31,22,22,42,UE,0.402,0.499,,
S4,2020,5,5,22,57,49,45.448505,-71.931831,146.7,15,48.4,5.4,60,614.4,1887,1.722331,592,330,268,1025,OK,0.267,0.426,,
S5,2020,5,5,22,57,52,45.448521,-71.931633,146.89999,15,48.4,5.4,60,614.4,3045,1.34394,237,174,129,489,OK,0.369,0.532,,
S1,2020,5,5,22,57,57,45.448544,-71.931343,146.89999,15,48.6,5.5,60,614.4,5149,0.143528,28,23,21,60,UE,0.466,0.579,,
S2,2020,5,5,22,57,59,45.448532,-71.931259,146.8,15,48.7,5.5,60,614.4,1633,0.561062,206,104,74,359,UE,0.213,0.387,,
S3,2020,5,5,22,58,2,45.448448,-71.931091,147,20,48.6,5.4,60,614.4,1621,1.826714,761,370,268,1275,OK,0.202,0.372,,
S4,2020,5,5,22,58,4,45.448353,-71.930977,147.10001,20,48.7,5.4,60,614.4,1693,0.70459,357,166,125,547,OK,0.188,0.351,,
S5,2020,5,5,22,58,7,45.448177,-71.930771,147.39999,20,48.7,5.4,60,614.4,2080,0.378391,103,61,46,184,UE,0.284,0.453,,
S6,2020,5,5,22,58,9,45.448044,-71.930618,147.39999,20,48.7,5.4,60,614.4,5543,0.104384,227,75,50,331,UE,0.127,0.222,,
S2,2020,5,5,22,58,14,45.447674,-71.930191,147.39999,20,48.8,5.5,60,614.4,1705,0.287055,149,69,52,248,UE,0.187,0.349,,
S4,2020,5,5,22,58,19,45.447277,-71.929741,147.3,20,48.8,5.5,60,614.4,1671,4.031819,2047,965,750,3396,OK,0.194,0.355,,
S5,2020,5,5,22,58,21,45.447117,-71.92955,147.2,20,48.6,5.4,60,614.4,4838,0.156576,32,25,23,55,UE,0.443,0.559,,
S6,2020,5,5,22,58,24,45.446873,-71.929276,147.2,20,48.8,5.5,60,614.4,2522,0.143528,186,87,89,278,UE,0.161,0.264,,
S1,2020,5,5,22,58,26,45.446705,-71.929077,147.10001,15,48.6,5.4,60,614.4,3968,0.156576,40,28,26,77,UE,0.390,0.511,,
S2,2020,5,5,22,58,29,45.446445,-71.928787,147.2,20,48.6,5.4,60,614.4,1862,0.091336,65,30,26,100,UE,0.183,0.325,,
S4,2020,5,5,22,58,34,45.445999,-71.928284,147.10001,20,48.6,5.4,60,614.4,3119,1.761474,1734,698,551,2712,OK,0.139,0.279,,
S5,2020,5,5,22,58,36,45.445824,-71.928078,147,20,48.7,5.5,60,614.4,4679,0.169623,37,28,26,62,UE,0.429,0.544,,
S6,2020,5,5,22,58,38,45.44556,-71.927773,146.89999,20,48.6,5.4,60,614.4,1894,0.234863,184,86,79,282,UE,0.183,0.314,,
