# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S4,2020,6,10,22,40,12,45.427891,-71.876183,227.2,12,56,19.7,60,614.4,1925,0.260959,151,66,48,228,UE,,,
S6,2020,6,10,22,40,17,45.427647,-71.876167,229.2,12,56.1,19.7,60,614.4,1624,1.291748,518,249,171,858,OK,,,
S1,2020,6,10,22,40,19,45.427559,-71.87606,229.2,12,56.1,19.7,60,614.4,1620,7.319905,2580,1254,792,4275,OK,,,
S2,2020,6,10,22,40,22,45.427544,-71.875954,230.8,11,56.1,19.7,60,614.4,2144,1.265652,749,308,199,1208,OK,,,
S5,2020,6,10,22,40,29,45.427536,-71.875427,233.8,12,56,19.6,60,614.4,2528,0.274007,55,37,26,104,UE,,,
S4,2020,6,10,22,40,41,45.427544,-71.874336,235.2,12,56.1,19.6,60,614.4,3259,0.143528,51,32,31,63,UE,,,
S2,2020,6,10,22,40,51,45.427528,-71.873581,235.39999,12,56.3,19.7,60,614.4,3058,0.482775,159,100,94,203,UE,,,
S4,2020,6,10,22,40,56,45.427322,-71.873405,238.10001,13,56.3,19.6,60,614.4,1748,0.730686,309,165,142,506,OK,,,
S5,2020,6,10,22,40,59,45.427151,-71.873398,241,13,56.3,19.6,60,614.4,1780,2.205105,743,404,310,1291,OK,,,
S4,2020,6,10,22,41,11,45.426823,-71.873856,241.39999,13,56.3,19.6,60,614.4,3727,0.613254,136,98,86,236,UE,,,
S2,2020,6,10,22,41,35,45.426826,-71.8759,238.7,13,56.4,19.6,60,614.4,4626,0.143528,55,36,37,61,UE,,,
S3,2020,6,10,22,41,38,45.426826,-71.876007,238.3,13,56.4,19.6,60,614.4,1894,6.915419,1647,951,596,3069,OK,,,
S4,2020,6,10,22,41,40,45.426815,-71.876076,238.3,12,56.4,19.6,60,614.4,1623,0.430583,182,88,63,292,UE,,,
S5,2020,6,10,22,41,43,45.426743,-71.87616,238.60001,12,56.4,19.6,60,614.4,1722,0.260959,92,49,37,144,UE,,,
S2,2020,6,10,22,41,50,45.426414,-71.876183,240.8,12,56.4,19.5,60,614.4,1721,0.182671,60,32,23,101,UE,,,
S3,2020,6,10,22,41,53,45.426273,-71.876183,241.3,12,56.5,19.6,60,614.4,1972,0.143528,53,30,25,78,UE,,,
S4,2020,6,10,22,41,55,45.426193,-71.87619,241.7,13,56.4,19.5,60,614.4,1673,0.456679,171,89,67,282,UE,,,
S5,2020,6,10,22,41,57,45.426121,-71.876221,241.8,14,56.4,19.5,60,614.4,1772,0.430583,136,74,54,236,UE,,,
S6,2020,6,10,22,42,0,45.426079,-71.876198,242.5,13,56.4,19.5,60,614.4,1929,0.469727,123,71,49,215,UE,,,
S2,2020,6,10,22,42,5,45.426071,-71.875938,242.5,13,56.5,19.5,60,614.4,1884,0.548014,286,123,80,468,UE,,,
