Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,,,
S1,2020,4,18,22,18,14,45.415878,-71.866493,278.60001,12,38.8,9.2,60,614.4,2418,0.026096,8,5,4,14,UE,0.32,0.48,,,,
S2,2020,4,18,22,18,16,45.41597,-71.866508,278.5,12,38.8,9.1,60,614.4,1636,0.234863,109,52,38,178,UE,0.2,0.36,,,,
S3,2020,4,18,22,18,19,45.416111,-71.866531,278.79999,12,38.8,9.1,60,614.4,1622,0.378391,157,76,54,256,UE,0.2,0.37,,,,
S4,2020,4,18,22,18,21,45.416206,-71.866547,278.70001,12,38.8,9.1,60,614.4,1661,0.13048,58,30,24,83,UE,0.23,0.39,,,,
S5,2020,4,18,22,18,24,45.416359,-71.866562,278.70001,12,38.8,9.1,60,614.4,2710,0.039144,11,7,6,16,UE,0.33,0.48,,,,
S6,2020,4,18,22,18,26,45.416458,-71.86657,277.29999,12,38.8,9,60,614.4,1718,0.404487,143,76,58,244,UE,0.24,0.41,,,,
S1,2020,4,18,22,18,29,45.416607,-71.866585,276.39999,12,38.8,9.1,60,614.4,1672,9.290147,4245,1972,1396,7057,OK,0.18,0.35,,,,
S2,2020,4,18,22,18,31,45.416702,-71.866585,276.29999,12,38.8,9.1,60,614.4,1823,2.948839,1502,660,447,2524,OK,0.16,0.33,,,,
S3,2020,4,18,22,18,34,45.416798,-71.866592,276.10001,12,38.8,9,60,614.4,2136,0.039144,27,15,15,36,UE,0.26,0.38,,,,
S4,2020,4,18,22,18,36,45.416931,-71.8666,276,12,38.8,9,60,614.4,5517,0.795925,1728,609,463,2631,OK,0.11,0.23,,,,
S5,2020,4,18,22,18,38,45.417015,-71.866592,275.60001,12,38.8,9,60,614.4,1627,2.805311,1657,844,791,2749,OK,0.22,0.35,,,,
S6,2020,4,18,22,18,41,45.41713,-71.866562,275.39999,12,38.8,9,60,614.4,1945,0.782878,527,237,195,827,OK,0.18,0.32,,,,
S1,2020,4,18,22,18,43,45.41721,-71.866531,275.79999,12,38.8,9,60,614.4,1951,0.039144,18,10,9,30,UE,0.27,0.41,,,,
S2,2020,4,18,22,18,46,45.417328,-71.866478,274.89999,12,38.8,9,60,614.4,5773,0.013048,87,31,26,127,UE,0.09,0.2,,,,
S3,2020,4,18,22,18,48,45.417427,-71.866432,274.79999,12,38.8,8.9,60,614.4,2274,0.026096,10,6,5,16,UE,0.3,0.46,,,,
S4,2020,4,18,22,18,51,45.417587,-71.866364,275.10001,12,38.7,8.9,60,614.4,4420,0.052192,519,174,139,765,OK,0.1,0.19,,,,
S5,2020,4,18,22,18,53,45.417698,-71.866295,276.39999,12,38.8,8.9,60,614.4,1621,2.322537,1171,588,505,1920,OK,0.22,0.37,,,,
S6,2020,4,18,22,18,56,45.417801,-71.866249,276.5,12,38.8,8.9,60,614.4,1846,0.443631,300,138,117,474,OK,0.18,0.33,,,,
S1,2020,4,18,22,18,58,45.41795,-71.866173,276.5,12,38.8,8.9,60,614.4,1866,0.026096,9,5,4,15,UE,0.26,0.43,,,,
S2,2020,4,18,22,19,1,45.418049,-71.866127,276.79999,12,38.8,8.9,60,614.4,3229,0.078288,87,35,28,136,UE,0.14,0.28,,,,
S3,2020,4,18,22,19,3,45.418205,-71.866058,276.60001,13,38.7,8.8,60,614.4,1638,0.156576,77,37,29,124,UE,0.2,0.36,,,,
S4,2020,4,18,22,19,5,45.41832,-71.86599,277.29999,13,38.7,8.8,60,614.4,2015,13.778646,2366,1484,707,4942,OK,0.19,0.38,,,,
S5,2020,4,18,22,19,8,45.418472,-71.865913,276.70001,13,38.7,8.8,60,614.4,1916,0.326199,89,51,36,149,UE,0.26,0.44,,,,
S6,2020,4,18,22,19,10,45.418568,-71.865868,276.10001,13,38.8,8.8,60,614.4,2457,0.117432,24,16,11,44,UE,0.31,0.49,,,,
S1,2020,4,18,22,19,13,45.418682,-71.865799,276.10001,13,38.7,8.8,60,614.4,2610,0.026096,6,4,3,12,UE,0.33,0.5,,,,
S2,2020,4,18,22,19,15,45.418732,-71.865761,275.70001,13,38.8,8.8,60,614.4,2603,3.275038,945,590,509,1514,OK,0.33,0.47,,,,
S3,2020,4,18,22,19,18,45.418758,-71.865677,276.5,13,38.8,8.7,60,614.4,2224,0.913357,273,163,134,466,OK,0.3,0.46,,,,
S4,2020,4,18,22,19,20,45.418736,-71.86554,276.29999,13,38.8,8.8,60,614.4,2783,0.874213,217,142,118,334,OK,0.34,0.49,,,,
S5,2020,4,18,22,19,23,45.418701,-71.865417,276.60001,13,38.8,8.7,60,614.4,2440,0.626302,137,89,65,273,UE,0.32,0.49,,,,
S6,2020,4,18,22,19,25,45.418655,-71.865219,277.20001,13,38.8,8.7,60,614.4,1668,0.626302,210,109,75,365,UE,0.22,0.4,,,,
S1,2020,4,18,22,19,27,45.41864,-71.865089,278,13,38.8,8.7,60,614.4,1984,10.895047,2504,1487,954,4620,OK,0.25,0.44,,,,
S2,2020,4,18,22,19,30,45.418663,-71.864906,277.70001,13,38.8,8.7,60,614.4,1864,2.022434,1027,444,290,1713,OK,0.16,0.32,,,,
S3,2020,4,18,22,19,32,45.418728,-71.86483,278,13,38.8,8.7,60,614.4,1629,0.169623,90,44,37,140,UE,0.21,0.36,,,,
S4,2020,4,18,22,19,35,45.418858,-71.864761,277.89999,13,38.8,8.7,60,614.4,2186,0.50887,128,78,58,233,UE,0.29,0.46,,,,
S5,2020,4,18,22,19,37,45.418953,-71.864723,276.70001,12,38.8,8.6,60,614.4,3156,1.2787,183,146,99,410,UE,0.38,0.54,,,,
S6,2020,4,18,22,19,40,45.419102,-71.864655,275.70001,12,38.8,8.6,60,614.4,3826,0.091336,14,12,9,29,UE,0.43,0.58,,,,
S1,2020,4,18,22,19,42,45.419201,-71.864601,273.89999,13,38.8,8.6,60,614.4,2610,0.026096,6,4,3,11,UE,0.33,0.5,,,,
S2,2020,4,18,22,19,45,45.419292,-71.864548,273.39999,13,38.8,8.6,60,614.4,3021,0.795925,164,115,91,315,UE,0.37,0.52,,,,
S3,2020,4,18,22,19,47,45.419422,-71.864456,274.60001,12,38.8,8.5,60,614.4,2268,0.378391,82,52,36,159,UE,0.29,0.47,,,,
S4,2020,4,18,22,19,50,45.419518,-71.86441,273.70001,13,38.8,8.5,60,614.4,1976,0.561062,163,94,71,306,UE,0.27,0.44,,,,
S5,2020,4,18,22,19,52,45.41964,-71.864334,270.10001,13,38.7,8.5,60,614.4,2227,0.587158,393,164,117,601,OK,0.15,0.31,,,,
