wavelength,relativeIntensity
712.5,0.001785
713.0,0.001724
713.5,0.001663
714.0,0.001602
714.5,0.001541
715.0,0.00148
715.5,0.001437
716.0,0.001394
716.5,0.001351
717.0,0.001308
717.5,0.001265
718.0,0.001222
718.5,0.001179
719.0,0.001136
719.5,0.001093
720.0,0.00105
720.5,0.001019
721.0,0.000988
721.5,0.000957
722.0,0.000926
722.5,0.000895
723.0,0.000864
723.5,0.000833
724.0,0.000802
724.5,0.000771
725.0,0.00074
725.5,0.000718
726.0,0.000696
726.5,0.000674
727.0,0.000652
727.5,0.00063
728.0,0.000608
728.5,0.000586
729.0,0.000564
729.5,0.000542
