R,G,B,C,R/G,B/G,R/C,B/C,G/C,MSI,SLI,IPI,fname
215842330457.05002,102085163016.35251,78025303508.2125,568449324868.2625,2.1143359532322568,0.7643158045965408,0.37970373261868373,0.17958533601919685,0.13725991059325257,0.41197250518869166,0.5549602767428794,0.9940226369405375,LSPDD/lampdump/Halo_PAR38Icepar_domestic-use_softwhite-color_Sandard-brand_90W_130V_5000H_3000K
86118960045.9375,47223721279.387505,31638013198.55,212024136042.86182,1.8236377335965521,0.6699601882573272,0.40617526689757666,0.22272804483844696,0.14921892285015234,0.350841313542287,0.5576005311694024,0.8999729391609236,LSPDD/lampdump/Halo_BR38_domestic-use_softwhite-color_Enersaver_Globe-brand_65W_120V_15.4Lum_2870K
199046432490.92145,154057867200.6901,90411503048.68999,472429753657.1295,1.292023809674225,0.5868671603178276,0.42132492915630654,0.32609687685441396,0.19137554810806226,0.29835900721841824,0.4959170730388151,0.6405303585364037,LSPDD/lampdump/LED_PAR20_domestic-use_softwhite-color_Ledtech-brand_8W_120V_E26_2939K
376182828719.43,285755158246.39374,159069092048.14874,875955330193.3682,1.3164515770352763,0.5566621894922739,0.42945435201174836,0.32622115351853953,0.18159498157632542,0.2851315429178099,0.490339066805524,0.6626181857984154,LSPDD/lampdump/LED_PAR30_domestic-use_softwhite-color_Energizer-brand_50Lum_15W_3155K
898038604054.4746,711392742037.7769,438180677179.1425,2176006470840.4854,1.2623668347839094,0.6159476352316706,0.41270033710313647,0.32692583940846487,0.20136919767977282,0.334094677096378,0.5273132845376375,0.672002688877095,LSPDD/lampdump/LED_Step-light-001_domestic-use_softwhite-color_DALS-brand_4.5W_79Lum_3000K_120V
80365046491.10712,53006624072.42952,27180675653.300247,171445898166.673,1.5161321419242695,0.5127788484729743,0.46874872686064123,0.30917405805123754,0.15853791746523008,0.2213372070496584,0.4183671776260924,0.6437774967295788,LSPDD/lampdump/LED_A19_domestic-use_softwhite-color_Philips-brand_11W_120V_75.5Lum_2700K
316726677208.75,177271660218.1875,118883095368.2,779715806834.665,1.786674061826465,0.6706266259473039,0.4062078444895633,0.22735419580351934,0.15246977722667687,0.35616323509227504,0.5628126123387562,0.8943252323531835,LSPDD/lampdump/Halo_BR38_domestic-use_softwhite-color_Enersaver_Globe-brand_89W_120V_19.1Lum_2966K
62804903349.57558,48962310691.45839,29534736616.65525,150707023696.19135,1.2827193501006902,0.6032137004883568,0.4167350784936427,0.32488406638671985,0.19597451991483825,0.33165445144795935,0.5289714356826977,0.7135888920960824,LSPDD/lampdump/LED_A19_domestic-use_softwhite-color_Sylvania-brand_8W_120V_54Lum_3048K
281140081168.8608,193975922013.8443,106769536213.43652,621156088608.2449,1.4493555604741266,0.5504267493870515,0.4526077846210604,0.3122820907196845,0.17188841608662825,0.2530108730452561,0.45649411867610346,0.6606597048342956,LSPDD/lampdump/LED_BR30_domestic-use_softwhite-color_Sylvania-brand_15W_120V_51.3Lum_2665K
304009683895.0625,154881290697.43,99906760513.325,732698129244.67,1.96285608498036,0.6450537703001128,0.4149180566469612,0.21138485894197015,0.13635460024487536,0.3115336033154405,0.5261096853415441,0.9124911393587268,LSPDD/lampdump/Halo_PAR30_domestic-use_softhwith-color_Sylvania-brand_75W_120V_15.1Lum_2770K
209967196342.58752,146943296653.755,96389134548.35,536368749043.825,1.4288994538984436,0.655961426913358,0.3914605329204811,0.2739594670936892,0.1797068429511995,0.3583693958131426,0.5094104921292317,0.7225891182263633,LSPDD/lampdump/LED_PAR30_domestic-use_softwhite-color_Sylvania-brand_15W_120V_50.3Lum_3000K
90698201343.8708,78958115425.4795,59093247355.49588,248084514430.88776,1.1486875143248774,0.7484125860535255,0.36559396523372206,0.31827103600807755,0.23819804912474005,0.4484128682109293,0.5930835461576901,0.6173237464294656,LSPDD/lampdump/MH_industrial-use_coolwhite-color_Philips-brand_400W_4000K_100Lum-plafond-jaune
286893501445.2075,142688028753.655,91235299631.375,683390687517.297,2.0106346969059143,0.6394040230865407,0.4198089126550266,0.20879422467992512,0.1335038672575792,0.3024192092283723,0.5173513556197448,0.9199906813645506,LSPDD/lampdump/Halo_R20_domestic-use_softwhite-color_Enersaver_Globe-brand_29W_120V_10.7Lum_3000K
171557013311.895,70708554305.9875,47438322477.4125,361231783701.3625,2.4262554226394046,0.6708993408651192,0.4749222550519657,0.1957428927805635,0.13132377774551174,0.3300435120637925,0.5572113652345906,1.2710766386523737,LSPDD/lampdump/INC_Candle_domestic-use_Fullspectrum-color_GE-brand_60W_120V_2450K
60352072638.00505,38157353972.45369,19271529813.60343,126383974525.78772,1.5816629392481991,0.5050541457228876,0.47752947210637575,0.3019160784872133,0.1524839671003638,0.205607117179518,0.41033683148583566,0.6629482495083099,LSPDD/lampdump/LED_A19_domestic-use_softwhite-color_Philips-brand_8W_120V_58.8Lum_2500K
95548718527.842,48409933133.98928,31925195915.861687,234732885555.27292,1.973742005868542,0.6594761415492757,0.40705297130317514,0.206234132978313,0.13600649027229808,0.32019046742954926,0.5375425756567901,0.9141286117108951,LSPDD/lampdump/Halo_A19_trilight_domestic-use_softwhite-color_Enersaver_Globe-brand_29W_120V_11.9Lum_2826K
15036140419.25626,11340219856.52152,6024995301.202844,34252803015.97797,1.3259126021802208,0.5312943997058396,0.438975473401179,0.3310742146046158,0.17589787610644164,0.26807233764329796,0.44531564176492466,0.5604939651466454,LSPDD/lampdump/CFL_BR38_domestic-use_softwhite-color_EnerSaver_Globe-brand_23W_120V_52.1Lum_2700K
