lat,lon,MSI,SLI,IPI
4.540672299999999950e+01,-7.191112499999999841e+01,1.608559182626233541e-01,3.029262829815895230e-01,7.618177650734208051e-01
4.540674200000000127e+01,-7.191206400000000087e+01,5.274541975786684045e-02,2.053201531245264500e-01,5.268655109497255573e-01
4.540676099999999593e+01,-7.191293299999999533e+01,1.156399000000002397e-01,2.162828999999995006e-01,5.249072000000016835e-01
4.540678400000000181e+01,-7.191368900000000508e+01,1.784738810864602288e-01,3.454143240533431580e-01,1.228990774287414656e+00
4.540677999999999770e+01,-7.191476400000000524e+01,1.204377724788568971e-01,1.686476111920043319e-01,7.752001973401498880e-01
4.540679199999999582e+01,-7.191564900000000193e+01,1.985476003395650890e-01,3.659244447515441756e-01,7.436815114603292365e-01
4.540712700000000268e+01,-7.191597699999999804e+01,4.837987450359332309e-01,6.654902670297979661e-01,8.098435022215819679e-01
4.540775700000000370e+01,-7.191594700000000273e+01,4.520939416000003819e-01,6.757677895999998352e-01,1.112290499999998961e+00
4.540842399999999657e+01,-7.191594700000000273e+01,1.319015377700362146e-01,2.476817644791269313e-01,5.824278387455810169e-01
4.540908400000000000e+01,-7.191590899999999920e+01,4.836612497652138520e-01,6.956863601145759635e-01,1.012615695435763019e+00
4.540932100000000560e+01,-7.191630600000000584e+01,4.245763517633760475e-02,1.421549113667543995e-01,5.774065896716771285e-01
4.540933199999999914e+01,-7.191737399999999525e+01,1.529653209647200418e-01,2.949749109925778878e-01,6.012046417802481280e-01
4.540929000000000570e+01,-7.191820500000000038e+01,1.668896955487894074e-01,3.149689689105590329e-01,6.889030087641327960e-01
4.540917600000000220e+01,-7.191873199999999144e+01,5.767335170137520839e-01,2.159173338473825421e-01,1.866918068753082860e+00
4.540897000000000361e+01,-7.191970100000000343e+01,1.753392087817654543e-01,3.288666557853083816e-01,7.430999459965108578e-01
4.540895499999999885e+01,-7.192057800000000611e+01,1.769915612430116303e-01,3.328565506033538401e-01,6.761081303611322646e-01
4.540899300000000238e+01,-7.192139399999999227e+01,1.582823709705075688e-01,2.980598401063099256e-01,7.752292952674895155e-01
4.540903099999999881e+01,-7.192237099999999828e+01,1.489500060863085951e-01,2.793152961110918486e-01,7.426573252377299816e-01
4.540901900000000069e+01,-7.192320300000000088e+01,1.574360804476536702e-01,2.973040863914904186e-01,6.894444853964070141e-01
4.540903499999999582e+01,-7.192419399999999996e+01,2.312569742548432616e-01,4.119719102436458780e-01,7.552884858559054670e-01
4.540905800000000170e+01,-7.192491899999998850e+01,1.279556365862658529e-01,2.283811597956295625e-01,7.879372586199457906e-01
4.540907299999999935e+01,-7.192569699999999955e+01,7.239956552400694800e-02,1.824717937504005683e-01,5.624228325554025965e-01
4.540908100000000047e+01,-7.192681899999999473e+01,1.373177908349422216e-01,2.641779349300876767e-01,5.795737443380049037e-01
4.540908100000000047e+01,-7.192787900000000434e+01,1.454057420184712290e-01,2.837858745490797752e-01,5.802946358184768449e-01
4.540907299999999935e+01,-7.192903100000000904e+01,2.033357113503740932e-01,3.731913372236372872e-01,7.879414153036914392e-01
4.540905800000000170e+01,-7.193014499999999600e+01,1.537235581537111928e-01,2.958466699303330394e-01,6.053553891553824506e-01
4.540906500000000534e+01,-7.193049599999999089e+01,2.923003096294188863e-01,4.971584444738106345e-01,1.039936503083716435e+00
4.540904199999999946e+01,-7.193072499999999536e+01,2.273371045341890939e-01,4.100930857267817142e-01,9.381429066737143607e-01
4.540904199999999946e+01,-7.193132800000000771e+01,1.637321737299669566e-01,3.131711079898000794e-01,6.200339771502672015e-01
4.540918700000000285e+01,-7.193227399999999250e+01,6.651180798321346677e-01,7.464110765396605451e-01,6.515292224874866811e-01
4.540951199999999943e+01,-7.193307500000000232e+01,1.408542422410919981e-01,2.638193037602141189e-01,6.415356446229307785e-01
4.540996599999999717e+01,-7.193379200000001106e+01,2.631156188110502780e-01,4.610344533583965454e-01,1.044982162398040426e+00
4.541042699999999854e+01,-7.193458599999999592e+01,2.087936279164496201e-01,3.814515523140560305e-01,8.142833255681343196e-01
4.541073599999999999e+01,-7.193546299999999860e+01,1.593184663552004166e-01,3.006695016959990419e-01,6.998012962815987059e-01
4.541082399999999808e+01,-7.193663800000000208e+01,1.932154544841425681e-01,3.581492999418844914e-01,8.273207992572406688e-01
4.541080900000000042e+01,-7.193756100000000231e+01,2.946291287530961034e-01,4.935879260928848211e-01,8.948877257422709341e-01
