Capteurs,Date,,,Heure,,,Longitude,Latitude,Altitude,,,,,,,,R,G,B,Clear,,,,,,,,,
S1,2019,10,30,4,44,45,45.381187,-71.928246,250.2,22,67.6,11,60,614.4,2178,3.992675,1329,777,667,2251,OK,,,,,,,,
S2,2019,10,30,4,44,48,45.381081,-71.928246,250.3,23,67.7,11,60,614.4,1696,2.152913,925,486,411,1531,OK,,,,,,,,
S1,2019,10,30,4,44,51,45.380966,-71.928246,250.7,23,67.6,11,60,614.4,2485,5.68891,1412,897,711,2526,OK,,,,,,,,
S2,2019,10,30,4,44,54,45.380829,-71.928253,251.39999,23,67.6,11,60,614.4,1839,2.061578,707,390,311,1186,OK,,,,,,,,
S1,2019,10,30,4,44,57,45.380714,-71.928253,251.8,23,67.6,10.9,60,614.4,2054,4.279731,1471,843,717,2457,OK,,,,,,,,
S2,2019,10,30,4,45,1,45.380608,-71.928253,252.60001,23,67.6,11,60,614.4,2324,0.939453,250,154,122,450,OK,,,,,,,,
S1,2019,10,30,4,45,4,45.380508,-71.928253,253.2,22,67.7,11,60,614.4,3993,0.13048,18,16,12,43,OK,,,,,,,,
S2,2019,10,30,4,45,7,45.380402,-71.928261,254.10001,22,67.7,10.9,60,614.4,1626,7.633057,2699,1346,906,4732,OK,,,,,,,,
S1,2019,10,30,4,45,10,45.380238,-71.928284,256,23,67.7,10.9,60,614.4,2532,0.143528,40,25,21,67,OK,,,,,,,,
S2,2019,10,30,4,45,13,45.380104,-71.928291,257.10001,23,67.7,10.9,60,614.4,1667,3.379421,1257,652,494,2160,OK,,,,,,,,
S1,2019,10,30,4,45,17,45.379974,-71.928299,257.70001,22,67.7,11,60,614.4,2417,2.165961,778,461,422,1302,OK,,,,,,,,
S2,2019,10,30,4,45,20,45.379883,-71.928307,258.10001,22,67.8,11,60,614.4,1666,5.989014,2732,1274,908,4647,OK,,,,,,,,
S1,2019,10,30,4,45,23,0,0,0,0,68,11,60,614.4,4797,0.57411,43,54,37,124,OK,,,,,,,,
S2,2019,10,30,4,45,26,45.379749,-71.928185,258.5,23,68,10.9,60,614.4,3593,1.578803,179,164,108,436,OK,,,,,,,,
S1,2019,10,30,4,45,29,45.379738,-71.928017,258.29999,23,68.1,10.9,60,614.4,5628,1.291748,89,124,92,274,OK,,,,,,,,
S2,2019,10,30,4,45,33,45.379738,-71.927811,258.39999,23,68.1,11,60,614.4,4333,5.427951,505,541,374,1382,OK,,,,,,,,
S1,2019,10,30,4,45,36,45.379738,-71.927605,258.5,23,68.1,10.9,60,614.4,4736,0.743734,52,68,45,153,OK,,,,,,,,
S2,2019,10,30,4,45,39,0,0,0,0,68.1,11,60,614.4,2003,1.722331,442,260,183,813,OK,,,,,,,,
S1,2019,10,30,4,45,42,45.379803,-71.927315,259.10001,20,68.1,10.9,60,614.4,2489,6.119493,1887,1152,1006,3377,OK,,,,,,,,
S2,2019,10,30,4,45,45,45.379887,-71.927277,259.20001,23,68.1,10.9,60,614.4,2003,1.043837,685,302,238,1079,OK,,,,,,,,
S1,2019,10,30,4,45,49,45.379974,-71.927261,260.70001,23,68.1,10.9,60,614.4,2180,10.281792,2821,1694,1324,4957,OK,,,,,,,,
S2,2019,10,30,4,45,52,45.380062,-71.927254,261.39999,23,68.1,11,60,614.4,1955,1.174316,320,185,133,582,OK,,,,,,,,
S1,2019,10,30,4,45,55,45.380184,-71.927254,261.10001,23,68,11,60,614.4,2184,2.805311,814,485,391,1399,OK,,,,,,,,
S2,2019,10,30,4,45,58,45.380283,-71.927254,260.79999,23,68,11,60,614.4,1625,3.927436,1717,831,618,2828,OK,,,,,,,,
S1,2019,10,30,4,46,2,45.38039,-71.927254,260.60001,23,67.9,10.9,60,614.4,2510,5.636718,1866,1128,1014,3192,OK,,,,,,,,
S2,2019,10,30,4,46,5,45.380505,-71.927254,260.5,23,67.9,10.9,60,614.4,2122,6.054253,1634,975,743,2861,OK,,,,,,,,
S1,2019,10,30,4,46,8,45.380608,-71.927246,260.29999,23,67.8,10.9,60,614.4,2841,5.062608,1188,791,648,2190,OK,,,,,,,,
S2,2019,10,30,4,46,11,45.380768,-71.927246,260.29999,23,67.8,10.9,60,614.4,1689,7.776584,2664,1399,1020,4457,OK,,,,,,,,
S1,2019,10,30,4,46,14,45.380894,-71.927246,260.10001,21,67.8,10.9,60,614.4,2336,3.614285,1334,782,716,2159,OK,,,,,,,,
S2,2019,10,30,4,46,18,45.381023,-71.927246,259.70001,20,67.8,10.9,60,614.4,2088,1.85281,481,287,211,860,OK,,,,,,,,
S1,2019,10,30,4,46,21,45.381153,-71.927246,259.29999,23,67.8,10.9,60,614.4,1993,5.062608,1693,964,797,2869,OK,,,,,,,,
S2,2019,10,30,4,46,24,45.381279,-71.927246,258.5,22,67.7,10.9,60,614.4,2209,2.831407,1810,750,517,2816,OK,,,,,,,,
S1,2019,10,30,4,46,27,45.381443,-71.927246,257.60001,20,67.7,10.9,60,614.4,2157,8.833468,2239,1356,1006,4015,OK,,,,,,,,
S2,2019,10,30,4,46,30,45.381573,-71.927238,257,15,67.7,10.9,60,614.4,1717,0.861165,463,215,168,715,OK,,,,,,,,
S1,2019,10,30,4,46,34,45.381691,-71.927238,256.60001,21,67.7,10.9,60,614.4,2218,10.412271,2260,1420,969,4178,OK,,,,,,,,
S2,2019,10,30,4,46,37,45.38179,-71.927238,256.20001,21,67.7,10.9,60,614.4,1799,8.663845,2366,1310,867,4266,OK,,,,,,,,
S1,2019,10,30,4,46,40,0,0,0,0,67.6,10.9,60,614.4,2644,0.143528,41,26,22,71,OK,,,,,,,,
S2,2019,10,30,4,46,43,45.381878,-71.927063,254.3,21,67.6,11,60,614.4,1624,1.565755,668,323,236,1094,OK,,,,,,,,
S1,2019,10,30,4,46,46,45.381866,-71.926926,254.10001,22,67.6,10.9,60,614.4,2083,15.253065,4050,2406,1794,7325,OK,,,,,,,,
S2,2019,10,30,4,46,50,45.381859,-71.926773,254,22,67.5,10.9,60,614.4,1777,0.926405,544,250,200,855,OK,,,,,,,,
S1,2019,10,30,4,46,53,45.381847,-71.926613,253.8,23,67.5,10.9,60,614.4,1873,4.188395,1121,636,435,2016,OK,,,,,,,,
S2,2019,10,30,4,46,56,0,0,0,0,67.4,10.9,60,614.4,1627,3.549045,1823,891,740,3018,OK,,,,,,,,
S1,2019,10,30,4,46,59,45.38184,-71.926254,253.89999,22,67.4,10.9,60,614.4,3064,0.939453,213,146,121,314,OK,,,,,,,,
S2,2019,10,30,4,47,2,45.38184,-71.926094,253.89999,23,67.3,10.9,60,614.4,2044,15.057345,3577,2143,1457,6451,OK,,,,,,,,
S1,2019,10,30,4,47,6,45.38184,-71.925934,254.10001,23,67.3,10.9,60,614.4,2506,0.326199,115,69,63,188,OK,,,,,,,,
S2,2019,10,30,4,47,9,45.38184,-71.925797,254.3,23,67.3,10.9,60,614.4,1695,6.58922,3425,1599,1239,5718,OK,,,,,,,,
S1,2019,10,30,4,47,12,45.381836,-71.925613,254.39999,22,67.3,10.9,60,614.4,1707,0.156576,140,69,70,271,OK,,,,,,,,
S2,2019,10,30,4,47,15,45.381836,-71.925468,254.5,23,67.3,10.9,60,614.4,1769,13.139295,3924,2139,1495,6971,OK,,,,,,,,
S1,2019,10,30,4,47,19,45.381832,-71.925308,254.8,23,67.3,10.9,60,614.4,2434,2.518256,734,450,381,1324,OK,,,,,,,,
S2,2019,10,30,4,47,22,45.381832,-71.925156,255,23,67.3,10.9,60,614.4,1838,3.953532,1335,737,582,2283,OK,,,,,,,,
S1,2019,10,30,4,47,25,45.381832,-71.924995,255.2,23,67.3,10.9,60,614.4,2355,0.078288,19,12,9,35,OK,,,,,,,,
S2,2019,10,30,4,47,28,45.381836,-71.924782,255.60001,23,67.4,10.9,60,614.4,1623,9.107475,3084,1524,964,5314,OK,,,,,,,,
S1,2019,10,30,4,47,31,45.38184,-71.924637,256,23,67.5,10.9,60,614.4,2531,0.182671,47,30,24,80,OK,,,,,,,,
S2,2019,10,30,4,47,35,45.381851,-71.9245,256.70001,23,67.6,10.9,60,614.4,1794,0.652398,355,160,119,559,OK,,,,,,,,
S1,2019,10,30,4,47,38,45.381863,-71.9244,257.29999,23,67.6,10.9,60,614.4,2448,1.670139,402,256,198,725,OK,,,,,,,,
S2,2019,10,30,4,47,41,45.381866,-71.924362,257.5,23,67.6,10.9,60,614.4,1845,0.548014,303,134,96,485,OK,,,,,,,,
S1,2019,10,30,4,47,44,45.381863,-71.924301,257.70001,23,67.7,10.9,60,614.4,2527,1.539659,410,258,213,744,OK,,,,,,,,
S2,2019,10,30,4,47,47,45.381813,-71.924248,258.10001,22,67.7,10.9,60,614.4,1734,0.430583,208,94,65,354,OK,,,,,,,,
S1,2019,10,30,4,47,51,45.381729,-71.924171,258.70001,23,67.8,10.9,60,614.4,2565,1.552707,391,250,202,710,OK,,,,,,,,
S2,2019,10,30,4,47,54,45.381645,-71.92408,259.20001,23,68,10.9,60,614.4,1810,0.952501,498,221,155,823,OK,,,,,,,,
S1,2019,10,30,4,47,57,0,0,0,0,68.1,10.9,60,614.4,1848,7.111137,1913,1077,729,3534,OK,,,,,,,,
S2,2019,10,30,4,48,0,45.381485,-71.923882,260,22,68.1,10.9,60,614.4,3343,1.030789,1022,392,283,1587,OK,,,,,,,,
S1,2019,10,30,4,48,3,45.381432,-71.923798,260.29999,22,68.1,10.9,60,614.4,2722,0.091336,21,14,11,39,OK,,,,,,,,
S2,2019,10,30,4,48,7,45.381359,-71.923706,260.70001,23,68.1,10.9,60,614.4,1870,6.197781,1773,999,718,3045,OK,,,,,,,,
S1,2019,10,30,4,48,10,45.381268,-71.923615,261,23,68.2,10.9,60,614.4,2472,0.182671,51,32,26,86,OK,,,,,,,,
S2,2019,10,30,4,48,13,0,0,0,0,68.4,10.9,60,614.4,1621,1.826714,678,335,230,1146,OK,,,,,,,,
S1,2019,10,30,4,48,16,45.381073,-71.923569,261.79999,23,68.6,10.9,60,614.4,2167,0.078288,27,16,13,48,OK,,,,,,,,
S2,2019,10,30,4,48,19,45.381027,-71.923637,262.10001,23,68.6,10.9,60,614.4,1625,1.069933,397,198,138,686,OK,,,,,,,,
S1,2019,10,30,4,48,23,45.380993,-71.923721,262.20001,23,68.6,10.9,60,614.4,2524,6.497884,1578,1011,799,2834,OK,,,,,,,,
S2,2019,10,30,4,48,26,45.380951,-71.923782,262.29999,23,68.6,10.9,60,614.4,1621,10.855903,3992,1920,1232,7024,OK,,,,,,,,
S1,2019,10,30,4,48,29,45.380936,-71.923805,262.29999,23,68.5,10.9,60,614.4,2399,8.702989,1859,1205,862,3587,OK,,,,,,,,
S2,2019,10,30,4,48,32,45.380936,-71.923805,262.29999,23,68.5,10.9,60,614.4,1622,10.842855,3999,1920,1230,7048,OK,,,,,,,,
S1,2019,10,30,4,48,36,45.380936,-71.923805,262.29999,23,68.4,10.9,60,614.4,2402,8.729085,1864,1209,865,3583,OK,,,,,,,,
S2,2019,10,30,4,48,39,45.380936,-71.923805,262.29999,23,68.4,10.9,60,614.4,1621,10.921142,3998,1923,1229,7042,OK,,,,,,,,
S1,2019,10,30,4,48,42,45.380936,-71.923805,262.29999,23,68.3,10.9,60,614.4,2391,8.663845,1864,1205,864,3605,OK,,,,,,,,
S2,2019,10,30,4,48,45,45.380936,-71.923805,262.29999,23,68.3,10.9,60,614.4,1622,10.803711,3960,1903,1215,6957,OK,,,,,,,,
S1,2019,10,30,4,48,48,45.380936,-71.923805,262.29999,23,68.2,10.9,60,614.4,2377,8.859565,1893,1223,870,3661,OK,,,,,,,,
S2,2019,10,30,4,48,52,45.380936,-71.923805,262.29999,23,68.1,10.9,60,614.4,1622,10.790663,3955,1901,1214,6945,OK,,,,,,,,
S1,2019,10,30,4,48,55,45.380936,-71.923805,262.29999,23,68.1,10.9,60,614.4,2383,8.716037,1875,1211,866,3643,OK,,,,,,,,
S2,2019,10,30,4,48,58,45.380936,-71.923805,262.29999,23,68,10.9,60,614.4,1620,10.93419,3963,1919,1235,7003,OK,,,,,,,,
