Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S1,2020,5,12,23,1,5,45.473629,-71.947906,141.8,13,33.7,11.2,60,614.4,3070,4.423258,3988,1554,1118,6276,OK,1.36E-01,2.78E-01,,
S2,2020,5,12,23,1,8,45.473663,-71.947784,143.7,13,33.7,11.2,60,614.4,3072,2.596544,2341,912,656,3821,OK,1.36E-01,2.78E-01,,
S3,2020,5,12,23,1,10,45.473724,-71.947571,143.7,13,33.7,11.2,60,614.4,1722,0.378391,168,89,77,252,UE,2.47E-01,3.95E-01,,
S4,2020,5,12,23,1,13,45.473763,-71.947411,144.8,13,33.7,11.1,60,614.4,1701,4.866889,2830,1338,1120,4609,OK,1.95E-01,3.46E-01,,
S5,2020,5,12,23,1,15,45.473801,-71.94725,145.3,13,33.7,11.1,60,614.4,1661,0.156576,83,43,39,122,UE,2.35E-01,3.73E-01,,
S6,2020,5,12,23,1,18,45.47385,-71.947021,145.39999,13,33.7,11.1,60,614.4,62665,0.052192,526,211,215,769,OK,7.87E-02,1.69E-01,,
S1,2020,5,12,23,1,20,45.473892,-71.946869,147,12,33.6,11,60,614.4,1981,0.952501,412,229,211,676,OK,2.70E-01,4.04E-01,,
S2,2020,5,12,23,1,22,45.473946,-71.94664,147.60001,13,33.6,11,60,614.4,5016,0.117432,225,84,68,331,UE,1.14E-01,2.36E-01,,
S3,2020,5,12,23,1,25,45.473984,-71.946503,147.39999,12,33.6,11,60,614.4,1620,0.391439,188,93,75,291,UE,2.15E-01,3.73E-01,,
S4,2020,5,12,23,1,27,45.474045,-71.946289,148.3,12,33.6,11,60,614.4,1693,0.835069,459,216,174,706,OK,1.94E-01,3.50E-01,,
S5,2020,5,12,23,1,30,45.474075,-71.946159,148.2,12,33.6,10.9,60,614.4,2060,0.13048,53,30,27,76,UE,2.80E-01,4.19E-01,,
S6,2020,5,12,23,1,32,45.474117,-71.946014,148,13,33.6,11,60,614.4,3058,0.300103,371,164,157,566,OK,1.47E-01,2.65E-01,,
S1,2020,5,12,23,1,35,45.474129,-71.945953,148.10001,13,33.6,10.9,60,614.4,3033,8.154975,7088,2735,1899,10998,OK,1.36E-01,2.78E-01,,
S2,2020,5,12,23,1,37,45.474159,-71.945831,148.10001,13,33.6,10.9,60,614.4,2798,3.288086,2703,1071,765,4362,OK,1.40E-01,2.86E-01,,
S3,2020,5,12,23,1,40,45.47419,-71.945724,148.10001,13,33.6,10.9,60,614.4,3268,0.730686,754,300,235,1145,OK,1.36E-01,2.75E-01,,
S4,2020,5,12,23,1,42,45.474224,-71.945602,148.60001,13,33.5,10.8,60,614.4,1652,6.276068,2866,1352,987,4808,OK,1.92E-01,3.59E-01,,
S5,2020,5,12,23,1,45,45.474277,-71.945427,147.89999,13,33.6,10.8,60,614.4,2030,0.247911,203,93,84,338,UE,1.75E-01,3.09E-01,,
