lat,lon,MSI
  45.42062, -71.91731,   0.26259
  45.42090, -71.91637,   0.17213
  45.42165, -71.91630,   0.17133
  45.42248, -71.91505,   0.19517
  45.41988, -71.91670,   0.04127
  45.41894, -71.91589,   0.16917
  45.41895, -71.91451,   0.19336
  45.41807, -71.91303,   0.17762
  45.41812, -71.91714,   0.16676
  45.41812, -71.91714,   0.17014
  45.41812, -71.91714,   0.17014
  45.41813, -71.91716,   0.15119
  45.41815, -71.91717,   0.16012
  45.41817, -71.91714,   0.16610
  45.41817, -71.91721,   0.15913
  45.41817, -71.91720,   0.15913
  45.41779, -71.91719,   0.36921
  45.41721, -71.91482,   0.23170
  45.41719, -71.91372,   0.19131
  45.41718, -71.91280,   0.34350
  45.41731, -71.91178,   0.34420
  45.41748, -71.91108,   0.16070
  45.41817, -71.91131,   0.17230
  45.41896, -71.91174,   0.21359
  45.41707, -71.91091,   0.25011
  45.41631, -71.91067,   0.19464
  45.41636, -71.91163,   0.29251
  45.41645, -71.91268,   0.29844
  45.41650, -71.91572,   0.24332
  45.41653, -71.91674,   0.25210
  45.41662, -71.91777,   0.12374
  45.41679, -71.91853,   0.13118
  45.41610, -71.91853,   0.15143
  45.41532, -71.91852,   0.21466
  45.41458, -71.91848,   0.06341
  45.41433, -71.91789,   0.23252
  45.41474, -71.91747,   0.17074
  45.41548, -71.91744,   0.19936
  45.41624, -71.91750,   0.17446
  45.41643, -71.91661,   0.16593
  45.41488, -71.91641,   0.15853
  45.41420, -71.91505,   0.16853
  45.41385, -71.91409,   0.04858
  45.41347, -71.91322,   0.14069
  45.41426, -71.91303,   0.17663
  45.41511, -71.91299,   0.21018
  45.41606, -71.91298,   0.21341
  45.41635, -71.91215,   0.16152
  45.41630, -71.91054,   0.19650
  45.41564, -71.91019,   0.14682
  45.41562, -71.91128,   0.20398
  45.41568, -71.91258,   0.27653
  45.41512, -71.91307,   0.26358
  45.41489, -71.91234,   0.04722
  45.41486, -71.91123,   0.17808
  45.41485, -71.91014,   0.26886
  45.41461, -71.90964,   0.23953
  45.41416, -71.91077,   0.25384
  45.41425, -71.91297,   0.15450
  45.41359, -71.91310,   0.14805
  45.41286, -71.91316,   0.13382
  45.41298, -71.91398,   0.17053
  45.41322, -71.91467,   0.11431
  45.41273, -71.91316,   0.15210
  45.41270, -71.91194,   0.15559
  45.41265, -71.90994,   0.10594
  45.41260, -71.90884,   0.16789
  45.41314, -71.90891,   0.26353
  45.41413, -71.91015,   0.20484
  45.41349, -71.91010,   0.18933
  45.41270, -71.90989,   0.24958
  45.41267, -71.91098,   0.38173
  45.41232, -71.91382,   0.23930
  45.41231, -71.91382,   0.24275
  45.41229, -71.91360,   0.31986
  45.41130, -71.91319,   0.21149
  45.41114, -71.91375,   0.25024
  45.41118, -71.91487,   0.13586
  45.41122, -71.91606,   0.20573
  45.41128, -71.91714,   0.17187
  45.41175, -71.91740,   0.48374
  45.41262, -71.91737,   0.28346
  45.41334, -71.91703,   0.16259
  45.41332, -71.91678,   0.27872
  45.41433, -71.91697,   0.24539
  45.41437, -71.91824,   0.17405
  45.41388, -71.91846,   0.18130
  45.41233, -71.91847,   0.23411
  45.41156, -71.91853,   0.23939
  45.41007, -71.91855,   0.25639
  45.40936, -71.91856,   0.18329
  45.40922, -71.91814,   0.23288
  45.40962, -71.91743,   0.22793
  45.41001, -71.91697,   0.18022
  45.41007, -71.91615,   0.28887
  45.41005, -71.91640,   0.26963
  45.41015, -71.91737,   0.24539
  45.41087, -71.91740,   0.20615
  45.41122, -71.91666,   0.28150
  45.41117, -71.91541,   0.21013
  45.41116, -71.91430,   0.37976
  45.41115, -71.91476,   0.38576
  45.41013, -71.91466,   0.45823
  45.40952, -71.91459,   0.36723
  45.40928, -71.91406,   0.21424
  45.41007, -71.91393,   0.26667
  45.41069, -71.91368,   0.44223
  45.41030, -71.91318,   0.18834
  45.40849, -71.91219,   0.14511
  45.40888, -71.91206,   0.17455
  45.40919, -71.91205,   0.12177
  45.40926, -71.91126,   0.18176
  45.40976, -71.91103,   0.22338
  45.40982, -71.91106,   0.22617
  45.40936, -71.91109,   0.16737
  45.40923, -71.91014,   0.26056
  45.40922, -71.90891,   0.27558
  45.40923, -71.90781,   0.25739
  45.40987, -71.90768,   0.29974
  45.41064, -71.90773,   0.11312
  45.41145, -71.90808,   0.06554
  45.41211, -71.90841,   0.10899
  45.41225, -71.90763,   0.41473
  45.41220, -71.90646,   0.12901
  45.41165, -71.90626,   0.23378
  45.41158, -71.90530,   0.24272
  45.41155, -71.90420,   0.25639
  45.41158, -71.90408,   0.22982
  45.41182, -71.90417,   0.27380
  45.41169, -71.90414,   0.14620
  45.41157, -71.90433,   0.23170
  45.41162, -71.90562,   0.24150
  45.41143, -71.90651,   0.18359
  45.41089, -71.90660,   0.23444
  45.41098, -71.90660,   0.15427
  45.41104, -71.90619,   0.24468
  45.41067, -71.90463,   0.24410
  45.41035, -71.90526,   0.28412
  45.41022, -71.90587,   0.23905
  45.41024, -71.90725,   0.13955
  45.41005, -71.90766,   0.26562
  45.40940, -71.90772,   0.34323
  45.40924, -71.90704,   0.27841
  45.40924, -71.90608,   0.17685
  45.40908, -71.90514,   0.27255
  45.40894, -71.90397,   0.22538
  45.40887, -71.90272,   0.22943
  45.40879, -71.90163,   0.22846
  45.40830, -71.90147,   0.26329
  45.40766, -71.90154,   0.20358
  45.40691, -71.90166,   0.23789
  45.40662, -71.90222,   0.35331
  45.40670, -71.90301,   0.21480
  45.40671, -71.90317,   0.13300
  45.40670, -71.90368,   0.21706
  45.40672, -71.90440,   0.17916
  45.40672, -71.90512,   0.11086
  45.40673, -71.90576,   0.22350
  45.40681, -71.90589,   0.18102
  45.40761, -71.90591,   0.15621
  45.40922, -71.90574,   0.14510
  45.40879, -71.90460,   0.26342
  45.40665, -71.90406,   0.31061
  45.40705, -71.90321,   0.19951
  45.40811, -71.90318,   0.21401
  45.40885, -71.90310,   0.12761
  45.40895, -71.90330,   0.26827
  45.40909, -71.90488,   0.27548
  45.40929, -71.90611,   0.14538
  45.40921, -71.90765,   0.26717
  45.40847, -71.90774,   0.17570
  45.40849, -71.90875,   0.13418
  45.40845, -71.91003,   0.22415
  45.40850, -71.91052,   0.07023
  45.40774, -71.91047,   0.25864
  45.40756, -71.90947,   0.17346
  45.40754, -71.90816,   0.28887
  45.40710, -71.90776,   0.19953
  45.40671, -71.90729,   0.25725
  45.40670, -71.90653,   0.18862
  45.40673, -71.90744,   0.25391
  45.40673, -71.90864,   0.27436
  45.40675, -71.90987,   0.19205
  45.40713, -71.91051,   0.22861
  45.40786, -71.91090,   0.21946
  45.40883, -71.91318,   0.28090
  45.40881, -71.91319,   0.28619
  45.40883, -71.91318,   0.27831
  45.40884, -71.91318,   0.28741
  45.40898, -71.91318,   0.32577
  45.40935, -71.91679,   0.18308
  45.40895, -71.91721,   0.16864
  45.40828, -71.91722,   0.28828
  45.40757, -71.91724,   0.19404
  45.40691, -71.91726,   0.29091
  45.40681, -71.91816,   0.39597
  45.40800, -71.91846,   0.30356
  45.40872, -71.91839,   0.23836
  45.40834, -71.91853,   0.35298
  45.40767, -71.91854,   0.28494
  45.40668, -71.91859,   0.20911
  45.40602, -71.91834,   0.32463
  45.40442, -71.91665,   0.31871
  45.40445, -71.91793,   0.22713
  45.40480, -71.91851,   0.29779
  45.40565, -71.91849,   0.19042
  45.40501, -71.91861,   0.04901
  45.40414, -71.91859,   0.06669
  45.40372, -71.91852,   0.11913
  45.40368, -71.91733,   0.19069
  45.40365, -71.91611,   0.28261
  45.40363, -71.91513,   0.28080
  45.40362, -71.91417,   0.28072
  45.40361, -71.91317,   0.15021
  45.40360, -71.91199,   0.29393
  45.40358, -71.91090,   0.17091
  45.40358, -71.90979,   0.20454
  45.40360, -71.90874,   0.17130
  45.40359, -71.90780,   1.35589
  45.40358, -71.90677,   0.15669
  45.40356, -71.90582,   0.20499
  45.40358, -71.90256,   0.24643
  45.40366, -71.90228,   0.07598
  45.40367, -71.90231,   0.07254
  45.40374, -71.90214,   0.18737
  45.40432, -71.90160,   0.18976
  45.40516, -71.90157,   0.09196
  45.40561, -71.90156,   0.23119
  45.40657, -71.90157,   0.13963
  45.40667, -71.90285,   0.24341
  45.40595, -71.90321,   0.24012
  45.40445, -71.90325,   0.27428
  45.40369, -71.90331,   0.24992
  45.40360, -71.90431,   0.32700
  45.40513, -71.90466,   0.12027
  45.40649, -71.90598,   0.22183
  45.40498, -71.90777,   0.20359
  45.40587, -71.90771,   0.16983
  45.40654, -71.90773,   0.22194
  45.40673, -71.90860,   0.22787
  45.40420, -71.91196,   0.21644
  45.40582, -71.91057,   0.20802
  45.40503, -71.91061,   0.26595
  45.40410, -71.91063,   0.19770
  45.40366, -71.91107,   0.23144
  45.40369, -71.91250,   0.20950
  45.40402, -71.91330,   0.28790
  45.40475, -71.91334,   0.13029
  45.40557, -71.91326,   0.12321
  45.40644, -71.91324,   0.14350
  45.40729, -71.91323,   0.17835
  45.40785, -71.91328,   0.05590
  45.40702, -71.91328,   0.19467
  45.40527, -71.91415,   0.16252
  45.40476, -71.91354,   0.02405
  45.40479, -71.91351,   0.02978
  45.40477, -71.91349,   0.03317
  45.40476, -71.91350,   0.03418
  45.40475, -71.91338,   0.15755
  45.40376, -71.91337,   0.11723
  45.40229, -71.91340,   0.30450
  45.39986, -71.91344,   0.22104
  45.39906, -71.91348,   0.19662
  45.39871, -71.91383,   0.23154
  45.39932, -71.91476,   0.05577
  45.39932, -71.91476,   0.05438
  45.39932, -71.91478,   0.04493
  45.40031, -71.91474,   0.20165
  45.40037, -71.91473,   0.24526
  45.40061, -71.91471,   0.24217
  45.40077, -71.91472,   0.24108
  45.40285, -71.91467,   0.20509
  45.40365, -71.91481,   0.20791
  45.40362, -71.91601,   0.23581
  45.40265, -71.91612,   0.17954
  45.40210, -71.91611,   0.20563
  45.40210, -71.91611,   0.20821
  45.40210, -71.91611,   0.20967
  45.40210, -71.91612,   0.21518
  45.40134, -71.91615,   0.02012
  45.40134, -71.91615,   0.02023
  45.40133, -71.91616,   0.02043
  45.40133, -71.91619,   0.02218
  45.40133, -71.91618,   0.02671
  45.40134, -71.91613,   0.02711
  45.40134, -71.91614,   0.02855
  45.40010, -71.91618,   0.26538
  45.39959, -71.91623,   0.03154
  45.39960, -71.91621,   0.02853
  45.39934, -71.91622,   0.02947
  45.39868, -71.91632,   0.22698
  45.39882, -71.91739,   0.33422
  45.39973, -71.91739,   0.12518
  45.40349, -71.91726,   0.14351
  45.40360, -71.91727,   0.16539
  45.40376, -71.91835,   3.86812
  45.40387, -71.91964,   0.21845
  45.40386, -71.91963,   0.21582
  45.40382, -71.91981,   0.17688
  45.40384, -71.92105,   0.24562
  45.40387, -71.92348,   0.12442
  45.40386, -71.92396,   0.21923
  45.40368, -71.92395,   0.21857
  45.40366, -71.92157,   0.16239
  45.40363, -71.91901,   0.13600
  45.40254, -71.91867,   0.17160
  45.40087, -71.91664,   0.18759
  45.45397, -71.97178,   0.47098
  45.45389, -71.97184,   0.48803
  45.45379, -71.97183,   0.45171
  45.44871, -71.96122,   0.48606
  45.44863, -71.95952,   0.14188
  45.44863, -71.95718,   0.29731
  45.44861, -71.95469,   0.21756
  45.44862, -71.95245,   0.37959
  45.44860, -71.95001,   0.40835
  45.44851, -71.93973,   0.20227
  45.44848, -71.93720,   0.39224
  45.44849, -71.93220,   0.36184
  45.44845, -71.93109,   0.16587
  45.44344, -71.92532,   0.14294
  45.44202, -71.92370,   0.14036
  45.44057, -71.92201,   0.22270
  45.43904, -71.92023,   0.23179
  45.43748, -71.91853,   0.27842
  45.43646, -71.91751,   0.19036
  45.43480, -71.91639,   0.20569
  45.43317, -71.91548,   0.31483
  45.42992, -71.91364,   0.17028
  45.42833, -71.91272,   0.25550
  45.42682, -71.91190,   0.19308
  45.42544, -71.91112,   0.22965
  45.42403, -71.91032,   0.16113
  45.42272, -71.90958,   0.28182
  45.42142, -71.90886,   0.38080
  45.42011, -71.90814,   0.25602
  45.41942, -71.90774,   0.19206
  45.41826, -71.90709,   0.24102
  45.41472, -71.90511,   0.41163
  45.41356, -71.90450,   0.22208
  45.41296, -71.90421,   0.20952
  45.41157, -71.90380,   0.28776
  45.41042, -71.90291,   0.32204
  45.40962, -71.90148,   0.13491
  45.40922, -71.89964,   0.17083
  45.40926, -71.89787,   0.23063
  45.40875, -71.89626,   0.34985
  45.40768, -71.89542,   0.16301
  45.40717, -71.89634,   0.18460
  45.40679, -71.89772,   0.23287
