Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S4,2020,6,9,22,46,38,45.418365,-71.910019,169.3,11,50.8,16.4,60,614.4,1639,3.301134,1386,655,452,2378,OK,,,
S5,2020,6,9,22,46,40,45.418255,-71.909973,172.39999,12,50.8,16.4,60,614.4,1981,3.001031,954,545,437,1663,OK,,,
S2,2020,6,9,22,46,48,45.41782,-71.909782,172,12,51.1,16.4,60,614.4,2133,0.417535,137,80,67,204,UE,,,
S3,2020,6,9,22,46,50,45.417721,-71.909737,171.60001,12,51.1,16.3,60,614.4,4656,0.208767,36,30,26,54,UE,,,
S4,2020,6,9,22,46,52,45.417572,-71.909676,171.60001,12,51.1,16.3,60,614.4,4933,1.004693,1493,457,218,2177,OK,,,
S5,2020,6,9,22,46,55,45.417477,-71.909607,169.89999,12,51.2,16.3,60,614.4,3777,3.522949,459,401,292,1131,OK,,,
S6,2020,6,9,22,46,57,45.417328,-71.909538,170.3,12,51.3,16.3,60,614.4,1806,1.017741,408,170,79,661,UE,,,
S2,2020,6,9,22,47,2,45.41716,-71.909477,168.5,11,51.4,16.3,60,614.4,1709,1.539659,688,311,204,1125,OK,,,
S3,2020,6,9,22,47,5,45.417091,-71.909401,170,12,51.4,16.3,60,614.4,1627,0.391439,125,62,36,221,UE,,,
S4,2020,6,9,22,47,7,45.417103,-71.909355,172.2,11,51.4,16.3,60,614.4,1620,0.391439,132,64,38,217,UE,,,
S6,2020,6,9,22,47,12,45.417225,-71.909416,170.89999,11,51.4,16.3,60,614.4,1638,0.430583,142,65,32,234,UE,,,
S1,2020,6,9,22,47,14,45.417313,-71.909477,171.39999,11,51.4,16.3,60,614.4,1807,7.019802,2646,1081,422,4201,OK,,,
S2,2020,6,9,22,47,17,45.41737,-71.909508,171,11,51.4,16.3,60,614.4,1749,5.440999,1900,789,288,3250,OK,,,
S3,2020,6,9,22,47,19,45.417435,-71.909538,171,11,51.3,16.3,60,614.4,4215,1.800618,239,214,166,609,OK,,,
S4,2020,6,9,22,47,22,45.417492,-71.909554,168.89999,11,51.3,16.3,60,614.4,1713,0.182671,66,35,27,105,UE,,,
S3,2020,6,9,22,47,34,45.418087,-71.909813,172,12,51.2,16.2,60,614.4,1876,4.136203,1240,697,519,2253,OK,,,
S4,2020,6,9,22,47,37,45.418247,-71.909912,166.60001,11,51.2,16.2,60,614.4,1911,0.300103,182,80,59,280,UE,,,
S5,2020,6,9,22,47,39,45.418362,-71.909973,164.2,12,51.1,16.2,60,614.4,1968,0.117432,52,29,26,73,UE,,,
S6,2020,6,9,22,47,41,45.418537,-71.910088,160.89999,11,51.1,16.2,60,614.4,1621,0.991645,404,200,148,673,OK,,,
S2,2020,6,9,22,47,46,45.418957,-71.910233,168.60001,12,51.2,16.2,60,614.4,1640,0.274007,108,55,42,170,UE,,,
