S4,2020,3,10,23,0,58,45.421017,-71.872169,262.29999,11,35.7,16.4,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,0,45.421013,-71.872169,262.29999,11,35.7,16.4,614.4,2.4,4645,1955.5627,11378,10011,8350,28387,OK,,,,,
S4,2020,3,10,23,1,1,45.421017,-71.872169,262.39999,11,35.7,16.4,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,3,45.421017,-71.872169,262.39999,11,35.7,16.4,614.4,2.4,4661,2026.6742,11712,10344,8622,29343,OK,,,,,
S4,2020,3,10,23,1,5,45.421017,-71.872169,262.39999,12,35.7,16.4,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,7,45.421017,-71.872169,262.5,12,35.7,16.3,614.4,2.4,4603,1840.4146,10870,9482,7917,26996,OK,,,,,
S4,2020,3,10,23,1,8,45.421017,-71.872169,262.5,12,35.7,16.3,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,10,45.421017,-71.872169,262.5,12,35.7,16.3,614.4,2.4,4619,1885.4302,11091,9699,8099,27587,OK,,,,,
S4,2020,3,10,23,1,12,45.421017,-71.872169,262.20001,12,35.7,16.3,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,14,45.421017,-71.872169,262.20001,12,35.8,16.3,614.4,2.4,4617,1869.7725,10999,9618,8030,27359,OK,,,,,
S4,2020,3,10,23,1,15,45.421017,-71.872169,262.10001,12,35.8,16.3,60,614.4,0,0,0,0,0,0,UE,,,,,
S1,2020,3,10,23,1,17,45.421017,-71.872169,262.10001,12,35.7,16.2,614.4,2.4,4651,1998.9473,11582,10212,8512,28929,OK,,,,,
S4,2020,3,10,23,1,19,45.421017,-71.872169,262.10001,12,35.7,16.2,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,21,45.421017,-71.872169,262.10001,12,35.8,16.2,614.4,2.4,4663,2031.241,11710,10354,8626,29297,OK,,,,,
S4,2020,3,10,23,1,22,45.421017,-71.872169,262,12,35.8,16.2,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,24,45.421013,-71.872169,262,12,35.7,16.1,614.4,2.4,4683,2138.2344,12186,10840,9015,30581,OK,,,,,
S4,2020,3,10,23,1,26,45.421013,-71.872169,262,12,35.7,16.1,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,28,45.421013,-71.872169,262.10001,12,35.8,16.1,614.4,2.4,4661,2010.0382,11630,10266,8560,29074,OK,,,,,
S4,2020,3,10,23,1,29,45.421013,-71.872169,262.10001,12,35.8,16.1,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,31,45.421013,-71.872169,262,12,35.8,16.1,614.4,2.4,4678,2117.0313,12079,10737,8929,30261,OK,,,,,
S4,2020,3,10,23,1,33,45.421013,-71.872169,262,12,35.8,16.1,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,35,45.421013,-71.872169,262.10001,12,35.8,16,614.4,2.4,4642,1945.1244,11343,9969,8319,28293,OK,,,,,
S4,2020,3,10,23,1,36,45.421013,-71.872169,262,12,35.8,16,60,614.4,0,0,0,0,0,1,UE,,,,,
S1,2020,3,10,23,1,38,45.421013,-71.872169,261.89999,12,35.8,16,614.4,2.4,4623,1878.9061,11018,9651,8054,27409,OK,,,,,
