R,G,B,C,R/G,B/G,R/C,B/C,G/C,MSI,SLI,IPI,fname
83597623017.91388,55437498852.55652,30291672963.161247,171445898166.673,1.5079616640038722,0.5464112485255878,0.4876035175635613,0.3233527278597377,0.17668356774399388,0.2213372070496584,0.4183671776260924,0.6437774967295788,LSPDD/lampdump/LED_A19_domestic-use_softwhite-color_Philips-brand_11W_120V_75.5Lum_2700K
476895295861.325,324768449647.05,275075301865.775,779715806834.665,1.4684163328660853,0.8469889922026594,0.6116270719165353,0.4165215669610191,0.35278918223098615,0.35616323509227504,0.5628126123387562,0.8943252323531835,LSPDD/lampdump/Halo_BR38_domestic-use_softwhite-color_Enersaver_Globe-brand_89W_120V_19.1Lum_2966K
66273093774.759,51680256792.20859,32873827531.5042,150707023696.19135,1.2823677336051948,0.6361003131946573,0.4397478773674027,0.3429187009650609,0.2181306930841803,0.33165445144795935,0.5289714356826977,0.7135888920960824,LSPDD/lampdump/LED_A19_domestic-use_softwhite-color_Sylvania-brand_8W_120V_54Lum_3048K
294066640862.09064,203965225353.0572,119183890231.20576,621156088608.2449,1.4417489077026284,0.584334363982401,0.4734182699890666,0.3283638832391699,0.19187430086735172,0.2530108730452561,0.45649411867610346,0.6606597048342956,LSPDD/lampdump/LED_BR30_domestic-use_softwhite-color_Sylvania-brand_15W_120V_51.3Lum_2665K
474331680242.4,312061911933.755,266209426570.97498,732698129244.67,1.5199922262319918,0.8530660628250151,0.6473766771199253,0.42590788686120434,0.3633275641708096,0.3115336033154405,0.5261096853415441,0.9124911393587268,LSPDD/lampdump/Halo_PAR30_domestic-use_softhwith-color_Sylvania-brand_75W_120V_15.1Lum_2770K
274790842024.95,206911415842.04248,160275426008.925,536368749043.825,1.3280603243019087,0.7746089086320896,0.5123170253949634,0.3857633693441308,0.2988157425178949,0.3583693958131426,0.5094104921292317,0.7225891182263633,LSPDD/lampdump/LED_PAR30_domestic-use_softwhite-color_Sylvania-brand_15W_120V_50.3Lum_3000K
100471345551.37535,87476385468.87926,68673282050.548805,248084514430.88776,1.148553921299357,0.7850493785546286,0.4049883797941165,0.3526071978718717,0.2768140615632019,0.4484128682109293,0.5930835461576901,0.6173237464294656,LSPDD/lampdump/MH_industrial-use_coolwhite-color_Philips-brand_400W_4000K_100Lum-plafond-jaune
446447541237.52,289875948531.43,246942694046.0,683390687517.297,1.540133093136265,0.8518909392002388,0.6532830332520739,0.4241731030671867,0.36134922315538537,0.3024192092283723,0.5173513556197448,0.9199906813645506,LSPDD/lampdump/Halo_R20_domestic-use_softwhite-color_Enersaver_Globe-brand_29W_120V_10.7Lum_3000K
244468151591.645,136885851921.04999,117546748023.4625,361231783701.3625,1.785927092981413,0.8587209443037146,0.6767625735662056,0.3789418819087532,0.32540533066891125,0.3300435120637925,0.5572113652345906,1.2710766386523737,LSPDD/lampdump/INC_Candle_domestic-use_Fullspectrum-color_GE-brand_60W_120V_2450K
63489817749.490204,40629599008.596664,22281469393.562935,126383974525.78772,1.5626493812074451,0.5484048559979261,0.5023565526223862,0.3214774591560775,0.17629979969506787,0.205607117179518,0.41033683148583566,0.6629482495083099,LSPDD/lampdump/LED_A19_domestic-use_softwhite-color_Philips-brand_8W_120V_58.8Lum_2500K
